distance,tunneling_rate
0.1,4952
0.2,5014
0.30000000000000004,4970
0.4,5040
0.5,4925
0.6,4994
0.7000000000000001,4966
0.8,4926
0.9,4996
1.0,4918
1.1,4861
1.2000000000000002,4890
1.3000000000000003,4894
1.4000000000000001,4845
1.5000000000000002,4795
1.6,4997
1.7000000000000002,4757
1.8000000000000003,4822
1.9000000000000001,4851
2.0,4799
2.1,4678
2.2,4858
2.3000000000000003,4733
2.4000000000000004,4766
2.5000000000000004,4623
2.6,4715
2.7,4726
2.8000000000000003,4674
2.9000000000000004,4658
3.0000000000000004,4631
3.1,4619
3.2,4486
3.3000000000000003,4577
3.4000000000000004,4508
3.5000000000000004,4471
3.6,4414
3.7,4408
3.8000000000000003,4338
3.9000000000000004,4299
4.0,4273
4.1,4343
4.2,4342
4.3,4176
4.3999999999999995,4073
4.5,4025
4.6,4078
4.7,3954
4.8,3902
4.9,3848
5.0,3750
5.1,3642
5.2,3575
5.3,3623
5.4,3431
5.5,3505
5.6,3318
5.7,3222
5.8,3082
5.9,3003
6.0,3011
6.1,2986
6.2,2905
6.3,2760
6.4,2708
6.5,2627
6.6,2461
6.7,2384
6.8,2335
6.9,2290
7.0,2279
7.1,2096
7.2,1942
7.3,1923
7.4,1894
7.5,1782
7.6,1728
7.7,1505
7.8,1467
7.9,1406
8.0,1362
8.1,1202
8.2,1253
8.3,1080
8.4,1146
8.5,936
8.6,965
8.7,847
8.8,874
8.9,812
9.0,696
9.1,731
9.2,651
9.3,552
9.4,547
9.5,489
9.6,478
9.700000000000001,470
9.8,400
9.9,411
10.0,378
10.1,287
10.200000000000001,297
10.3,313
10.4,266
10.5,207
10.6,208
10.700000000000001,226
10.8,202
10.9,165
11.0,192
11.1,127
11.200000000000001,137
11.3,127
11.4,131
11.5,89
11.6,98
11.700000000000001,75
11.8,90
11.9,63
12.0,64
12.1,57
12.200000000000001,48
12.3,55
12.4,54
12.5,46
12.6,41
12.700000000000001,32
12.8,25
12.9,23
13.0,23
13.1,19
13.200000000000001,17
13.3,20
13.4,23
13.5,13
13.6,18
13.700000000000001,15
13.8,14
13.9,8
14.0,4
14.1,10
14.200000000000001,2
14.3,9
14.4,9
14.5,6
14.6,3
14.700000000000001,6
14.8,0
14.9,2
15.0,6
15.1,5
15.200000000000001,9
15.3,4
15.4,7
15.5,1
15.6,3
15.700000000000001,1
15.8,0
15.9,1
