num,position
1,-0.5753428238915763
2,-5.204171394347088
3,-4.515605352237493
4,-5.036644627848363
5,-4.266159857669671
6,-5.5611155296847254
7,-4.634614431669235
8,-5.31909122926959
9,-4.4698307092497895
10,-4.588902045683268
11,-5.337317298219537
12,-4.64512293455432
13,-5.176321621505524
14,-4.541732046394942
15,-4.502612485329596
16,-5.674610677280967
17,-5.124887204322004
18,-4.169934783422291
19,-5.278095236949822
20,-5.770021856065437
21,-3.9475422660323893
22,-6.055783702824886
23,-4.495305170228887
24,-4.657928815393753
25,-4.380195154831283
26,-4.8302156818149955
27,-4.752990284738033
28,-5.629073578940633
29,-5.1028386259380465
30,-5.341390640918342
31,-4.90578343954077
32,-4.06490611082716
33,-5.213056701421874
34,-4.142710907939236
35,-5.462441858981211
36,-3.1151090895508453
37,-2.7735101944330935
38,3.5898980565587095
39,-5.607032897188125
40,-5.852380539122642
41,-5.874554459746932
42,-4.85348935083384
43,-5.6109539717731804
44,-5.2289432003903595
45,-5.66365060651278
46,-4.385015643200987
47,-5.506858330279341
48,-4.259594533739788
49,-4.7119822721686795
50,-5.22284785618506
51,-4.351867422433678
52,-4.274128330716334
53,-4.724286659067756
54,-4.070802424520281
55,-4.045687839140541
56,-3.1817649223510553
57,-2.4891809740988124
58,-6.41326803418022
59,-5.518846163372022
60,-5.6564746957760015
61,-4.07799825498206
62,-4.10420119359342
63,-3.9117747225915434
64,-5.650528533510419
65,-4.306162387128991
66,-5.158530122099156
67,-5.231668871129225
68,-4.585817783687323
69,-4.001417545456951
70,-5.93547662399474
71,-4.221875801479687
72,-5.145378639441596
73,-6.035678841354555
74,-5.818808960682027
75,-4.771203849767359
76,-4.473446473350258
77,-4.947145175714334
78,-4.987590007493363
79,-4.5625182524385615
80,-4.277907898663608
81,-4.553487104744994
82,-5.132374888268871
83,-4.270235779006977
84,-5.741214757281268
85,-4.736867380250307
86,-4.905344969620664
87,-5.188245786670906
88,-4.752697754829061
89,-4.812510345518786
90,-4.057915576629818
91,-5.766751203938694
92,-5.73151873910827
93,-4.298605372121401
94,-5.477873627922523
95,-5.316237115190123
96,-4.978385847853488
97,-5.300860963388924
98,-5.145249947714037
99,-4.815748201335335
100,-4.519150764421729
101,-4.676434418740698
102,-4.885610970800682
103,-5.772586921963945
104,-5.0583621867509
105,-4.933333096288964
106,-5.413072115525656
107,-5.25670709995204
108,-5.82240800123714
109,-4.053394981315894
110,-5.281932868230741
111,-4.911777613738495
112,-5.262964345491041
113,-5.459914669712493
114,-4.3551467688297425
115,-4.307522416847136
116,-5.3384489854656785
117,-3.9393183133932403
118,-5.115041913788483
119,-5.121807982573738
120,-5.048196846083794
121,-4.133523661739067
122,-5.174467501871054
123,-4.102929217776008
124,3.2848590236771074
125,-3.479337069255206
126,-2.5744567401450835
127,-2.727650936733335
128,4.0621952763133145
129,-4.431605489122166
130,-4.255571002307217
131,-5.5480695898100185
132,-5.679651276519751
133,-5.339361895658891
134,-5.425851050242471
135,-5.611307204667231
136,-5.257048402371776
137,-4.624881272540369
138,-5.613916137119195
139,-4.604782224766916
140,-5.871950029181498
141,-4.063075104446828
142,-5.430326442152862
143,-5.380227817934157
144,-5.044454775788411
145,-5.118071137263045
146,-3.8331515464647197
147,-4.8248625481996354
148,-4.086581422269844
149,-3.78180087618267
150,-5.784388061863844
151,-4.4940764799314215
152,-5.879502955867732
153,-5.430300287734222
154,-4.778252335133666
155,4.4259705409214725
156,-5.014319064767512
157,-5.265914346491234
158,-2.8682213557644847
159,-3.9069275248000856
160,-4.733605770716746
161,-5.3301194762142545
162,-4.799586249618328
163,-5.431330385138087
164,-4.753908325866889
165,-5.334247894159416
166,-4.780296396878557
167,-4.143967005158242
168,-4.989226022150182
169,-4.605378249190331
170,-5.241813837806242
171,-4.833509982776412
172,-5.173191047758674
173,-5.606969458473115
174,-4.12765669818177
175,-5.490950734196005
176,-4.9800718071779855
177,-5.621747148933234
178,-4.388086806696583
179,-5.067318410455752
180,-4.0060625648594606
181,-5.801360293469131
182,-4.516685699476437
183,-5.061260299525847
184,-5.016447011919151
185,-5.228795791861398
186,-5.655798929552671
187,-5.948766930747018
188,-5.508507859498217
189,-5.423266588092095
190,-5.132184220562241
191,-4.066945199422818
192,-2.8251076055851083
193,5.150449168707439
194,5.796561131276853
195,4.562843464199073
196,5.29110097372171
197,5.507579460334695
198,4.211436171790101
199,5.561162995176435
200,4.64335792683859
201,5.01904080430119
202,5.084744085538828
203,3.421597587904227
204,3.8399619178200783
205,5.217427525736918
206,4.961072108632017
207,4.652657054718993
208,4.563390997083436
209,4.903672830065366
210,5.236305466360713
211,4.331466396744389
212,5.55098612678449
213,5.570015761710758
214,5.432042007492921
215,5.332429754083034
216,4.850652954991478
217,5.371196372008297
218,4.766804007940115
219,4.7853844203542195
220,-4.392394303504528
221,2.047453830604468
222,1.8449563792332988
223,-3.1076558071738987
224,-5.530157439497671
225,-4.6197174156413245
226,-3.764272997201406
227,-4.037419560831122
228,-4.248944266959212
229,-4.283417898907283
230,-4.765374479695234
231,-4.022962974751431
232,-5.668449094121193
233,-5.094754140902928
234,-5.042307413994431
235,-4.441282227622347
236,-4.948158989677019
237,-5.232725936335109
238,-5.2210732176502965
239,-4.278936158304438
240,-5.409925152018533
241,-5.999550366898589
242,-5.2698093232668715
243,-5.852336721407414
244,-4.986747167137315
245,-4.754584868800935
246,-5.343493740015555
